"","Record","Sale_amount","Sale_date","Beds","Baths","Sqft_home","Sqft_lot","Type","Build_year","Town","University","Type2"
"402",402,361000,42472,2,2,1342,30056.4,3,1941,3,34,3
"403",403,326100,42461,7,2.2,2665,6490,3,1964,3,34,3
"404",404,343350,42538,3,1,1232,13068,3,1924,3,34,3
"405",405,312000,42516,3,2,1310,5880,3,1949,3,34,3
"406",406,332500,42499,4,3,1575,10018,3,1951,3,34,3
"407",407,244400,42523,3,1,1008,7840,3,1954,3,34,3
"408",408,220000,42480,4,2,1543,7840,3,1953,3,34,3
"409",409,325000,42499,3,2,1150,8756,3,1950,3,34,3
"410",410,260000,42556,3,1.5,1080,6665,3,1958,3,34,3
"411",411,285000,42486,4,2.5,1280,6534,3,1984,3,34,3
"412",412,360000,42507,3,2.5,2002,16988.4,3,1997,3,34,3
"413",413,280000,42531,3,2.5,1313,8712,3,1957,3,34,3
"414",414,260000,42479,3,2,1206,8059,3,1960,3,34,3
"415",415,285000,42461,3,1.5,1308,9583,3,1963,3,34,3
"416",416,372200,42515,3,2,1897,11325.6,3,1959,3,34,3
"417",417,273000,42502,3,1.5,1395,8276,3,1957,3,34,3
"418",418,375000,42499,3,2,1630,6969,3,1954,3,34,3
